SITE;GUILD;s_site_mean;s_site_std;n_site_mean;n_site_std;c_site_mean;c_site_std;FAMILY;PR;CG;HB;CF;SH;PA;TAXON;GENUS_2;HERB;PLAN;DETR;INVE;PISC;BAYDIST_KM;STAID;LAT_GAGE;LNG_GAGE;PPTAVG_SITE;HIRES_LENTIC_DENS;NPDES_MAJ_DENS;RAW_DIS_NEAREST_MAJ_NPDES;RAW_DIS_NEAREST_DAM;ELEV_SITE_M;STANAME;LATITUDE;LONGITUDE;NEAREST_BAY;SULFUR;S_PERCENT;CARBON;NITROGEN;N_PERCENT;C_PERCENT;GENUS;MAX_FORKLENGTH;MY_REP;DETAILS;TRAY;UID;SOURCE_TYPE;SPECIES;TROPHIC_LEVEL;SITE_TYPE;MIGRANT;carbon_s;nitrogen_s;sulfur_s
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Palaemonidae;0;1;0;0;0;0;Palaemonidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,10;0,99;-28,08977399;13,823993460;13,22;43,89;NA;NA;1;NA;NA;TERRG_2020_01_WM_Invertebrate_palaemonid_NA_1;NA;NA;1;Stream;Diadromous;0,636705303008461287;1,93374432711541089;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Palaemonidae;0;1;0;0;0;0;Palaemonidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,16;0,96;-27,18914159;13,823993460;13,82;45,56;NA;NA;2;NA;NA;TERRG_2020_01_WM_Invertebrate_palaemonid_NA_2;NA;NA;1;Stream;Diadromous;1,013684349044419841;1,93374432711541089;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Palaemonidae;0;1;0;0;0;0;Palaemonidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;6,25;0,98;-27,57323482;14,044693680;13,62;45,20;NA;NA;3;NA;NA;TERRG_2020_01_WM_Invertebrate_palaemonid_NA_3;NA;NA;1;Stream;Diadromous;0,852913873282865942;2,06278146261631035;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Physidae;0;0;1;0;0;0;Physidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-30,50906074;8,782010410;9,58;37,66;NA;NA;1;NA;NA;TERRG_2020_01_WM_Invertebrate_physid_NA_1;NA;NA;1;Stream;Potamodromous;-0,375939157819764447;-1,01415962158065387;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Physidae;0;0;1;0;0;0;Physidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-29,33593498;9,359855212;9,24;37,42;NA;NA;2;NA;NA;TERRG_2020_01_WM_Invertebrate_physid_NA_2;NA;NA;1;Stream;Potamodromous;0,115097840055291653;-0,67631021656345636;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Physidae;0;0;1;0;0;0;Physidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-29,37659792;9,261026607;8,70;34,29;NA;NA;3;NA;NA;TERRG_2020_01_WM_Invertebrate_physid_NA_3;NA;NA;1;Stream;Potamodromous;0,098077492652493020;-0,73409248834709961;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Physidae;0;0;1;0;0;0;Physidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-28,65483076;9,353804481;9,31;36,99;NA;NA;4;NA;NA;TERRG_2020_01_WM_Invertebrate_physid_NA_4;NA;NA;1;Stream;Potamodromous;0,400188648587902152;-0,67984790672038753;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Physidae;0;0;1;0;0;0;Physidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-28,83171454;9,195477022;8,47;35,44;NA;NA;5;NA;NA;TERRG_2020_01_WM_Invertebrate_physid_NA_5;NA;NA;1;Stream;Potamodromous;0,326150141152866058;-0,77241746455995830;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Velliidae;0;0;0;0;0;0;Velliidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-27,97067683;11,698462710;11,85;46,83;NA;NA;1;NA;NA;TERRG_2020_01_WM_Invertebrate_velliid_NA_1;NA;NA;1;Stream;Potamodromous;0,686555978780721610;0,69100700950385918;0,00000000000000000
WM;Invertebrate;NA;NA;10,51659054252632;1,7103620530886707;-29,6109127142105;2,389078144980225;Velliidae;0;0;0;0;0;0;Velliidae;NA;0;0;0;0;0;61,1550720;8164503;29,071646;-96,467193;112,20;1,012;0,00;-999,0;21,4;17;West Mustang Creek;29,071;-96,467;LB;NA;NA;-27,86901949;11,546185980;11,41;45,35;NA;NA;2;NA;NA;TERRG_2020_01_WM_Invertebrate_velliid_NA_2;NA;NA;1;Stream;Potamodromous;0,729106843102005908;0,60197514065187629;0,00000000000000000
